gene_name,SCZ.log2FC,SCZ.fdr
AC012593.1,-0.15627411,0.032970148
AC012615.1,-0.000631043,0.996869648
AC013268.2,-0.10686273,0.152556864
AC013268.5,0.002908633,0.958986699
AC013271.3,-0.020818552,0.900409931
AC013275.2,0.096966085,0.293485152
AC013394.2,-0.012081832,0.600455178
AC013402.2,-0.028937225,0.392623997
AC013460.1,-0.036201494,0.666388251
AC013472.3,0.03064608,0.755382378
AC013472.4,-0.027111971,0.743124702
AC015726.1,0.012803344,0.885055429
AC015849.13,0.065028251,0.442006012
AC015849.19,-0.013906762,0.885581576
AC015933.2,0.084295426,0.285167241
AC015936.3,0.090841765,0.532147309
AC015971.2,-0.040226086,0.633960616
AC015987.2,-0.008887986,0.945517828
AC016292.3,-0.060535162,0.497083268
AC016629.3,-0.026800121,0.751958714
AC016629.8,-0.051359597,0.224935792
AC016683.6,0.216990083,0.144535814
AC016700.3,0.086658158,0.349129731
AC016700.5,0.061157559,0.452378596
AC016712.2,-0.020754656,0.84077772
AC016716.1,0.006421867,0.936772675
AC016716.2,-0.000933182,0.992318793
AC016717.1,-0.023143913,0.841157169
AC016722.1,-0.153325761,0.05461573
AC016722.2,-0.006997968,0.93789469
AC016722.4,0.01755038,0.846647451
AC016725.4,-0.089135772,0.004431325
AC016734.2,0.027808129,0.821900477
AC016735.2,0.156429331,0.04271905
AC016738.4,0.043841447,0.547904757
AC016739.2,0.076064993,0.394535846
AC016745.1,0.021839859,0.765597729
AC016745.3,-0.083839858,0.337879935
AC016747.3,-0.031180522,0.203085495
AC016757.3,-0.049979317,0.3597897
AC016773.1,-0.026200629,0.79366059
AC016831.7,0.038169858,0.630664355
AC016894.1,0.016731768,0.862539476
AC016906.1,0.011037091,0.901614837
AC016907.3,0.007865937,0.930304473
AC016910.1,-0.097034066,0.257885991
AC016994.2,0.031530824,0.706596008
AC016995.3,-0.062075904,0.316401447
AC016999.2,-0.025465663,0.799878024
AC017002.2,0.059703528,0.52574602
AC017028.1,-0.023008243,0.795933493
AC017040.1,0.00463704,0.956857403
AC017048.3,0.052926508,0.425305492
AC017074.2,-0.032733131,0.769194475
AC017076.5,0.078173736,0.44192953
AC017078.1,-0.055103173,0.370874014
AC017081.1,0.071145384,0.482359159
AC017083.2,-0.013065202,0.874094851
AC017099.3,-0.050999673,0.090964071
AC017101.10,-0.085069733,0.33835813
AC017104.6,0.153874906,0.031669481
AC017116.11,-0.07027428,0.623860585
AC018442.1,-0.072739522,0.248042116
AC018462.3,0.124466325,0.344053497
AC018463.4,0.020345107,0.826613842
AC018470.4,-0.062837257,0.307738926
AC018641.7,0.038118133,0.745500466
AC018647.3,-0.288823578,3.01E-08
AC018685.1,0.064509052,0.519322579
AC018712.2,0.040643625,0.696318465
AC018720.10,-0.027122315,0.779001469
AC018730.1,0.02020857,0.571082374
AC018730.3,0.020268513,0.771419339
AC018737.1,-0.001265361,0.977292345
AC018737.6,0.030974646,0.707377408
AC018755.1,-0.0340924,0.398677516
AC018755.16,0.03896139,0.628722671
AC018766.4,-0.013115308,0.898276577
AC018766.5,0.009240446,0.908104616
AC018766.6,-0.042668678,0.626338853
AC018799.1,0.012595272,0.878996641
AC018804.6,0.012152232,0.954230659
AC018804.7,-0.051168551,0.672012435
AC018816.3,0.011250165,0.928136952
AC018865.8,0.040252484,0.733822953
AC018890.6,0.076563472,0.237888254
AC018892.9,0.084364043,0.22449327
AC019070.1,-0.033119476,0.605904116
AC019097.7,-0.05931172,0.378757455
AC019118.2,-0.061959205,0.182970097
AC019118.3,-0.152046012,0.010369151
AC019171.1,0.065769777,0.300637996
AC019171.4,-0.068269335,0.376198028
AC019181.2,-0.050265319,0.641458901
AC019181.3,-0.049427927,0.619813118
AC019186.1,-0.031379755,0.773583606
AC019294.1,-0.026257888,0.779923516
AC020571.3,-0.020629429,0.796832707
AC020594.5,0.049300916,0.62581746
AC020663.1,-0.509101564,0.00380952
AC020907.1,0.190598841,0.019452814
