sitelink	item	itemLabel	go	gene_symbol	entrez	ensembl_gene_id
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	SETDB2	83852	ENSG00000136169
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	HASPIN	83903	ENSG00000177602
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	TMEM250	90120	ENSG00000238227
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CHFR	55743	ENSG00000072609
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CGREF1	10669	ENSG00000138028
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	SMARCB1	6598	ENSG00000099956
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	SMARCB1	6598	ENSG00000275837
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	KNTC1	9735	ENSG00000184445
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	TIMELESS	8914	ENSG00000111602
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	FANCI	55215	ENSG00000140525
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	DMC1	11144	ENSG00000100206
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CGRRF1	10668	ENSG00000100532
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	WEE1	7465	ENSG00000166483
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	DYRK3	8444	ENSG00000143479
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDC26	246184	ENSG00000176386
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	SPOUT1	51490	ENSG00000198917
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	BRCC3	79184	ENSG00000185515
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	BRD7	29117	ENSG00000166164
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	FBXO5	26271	ENSG00000112029
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	NEK9	91754	ENSG00000119638
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MIS18A	54069	ENSG00000159055
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	INTS13	55726	ENSG00000064102
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	ANKRD53	79998	ENSG00000144031
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	TET2	54790	ENSG00000168769
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MAPRE2	10982	ENSG00000166974
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	APPL1	26060	ENSG00000157500
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	HAUS5	23354	ENSG00000249115
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	HAUS4	54930	ENSG00000092036
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	FZR1	51343	ENSG00000105325
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	HAUS7	55559	ENSG00000213397
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	UHRF1	29128	ENSG00000276043
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	KMT2E	55904	ENSG00000005483
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	ARL8B	55207	ENSG00000134108
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	HAUS8	93323	ENSG00000131351
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PMF1-BGLAP	100527963	ENSG00000260238
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	FBXL7	23194	ENSG00000183580
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PMF1	11243	ENSG00000160783
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	FBXO31	79791	ENSG00000103264
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	DSCC1	79075	ENSG00000136982
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	DCDC1	341019	ENSG00000170959
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	RACK1	10399	ENSG00000204628
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	APPL2	55198	ENSG00000136044
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PDS5B	23047	ENSG00000083642
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	ARL8A	127829	ENSG00000143862
